Date,CPI
2019-01,1.70
2019-02,1.50
2019-03,2.30
2019-04,2.50
2019-05,2.70
2019-06,2.70
2019-07,2.80
2019-08,2.80
2019-09,3.00
2019-10,3.80
2019-11,4.50
2019-12,4.50
2020-01,5.40
2020-02,5.20
2020-03,4.30
2020-04,3.30
2020-05,2.40
2020-06,2.50
2020-07,2.70
2020-08,2.40
2020-09,1.70
2020-10,0.50
2020-11,-0.50
2020-12,0.20
2021-01,-0.30
2021-02,-0.20
2021-03,0.40
2021-04,0.90
2021-05,1.30
2021-06,1.10
2021-07,1.00
2021-08,0.80
2021-09,0.70
2021-10,1.50
2021-11,2.30
2021-12,1.50
2022-01,0.90
2022-02,0.90
2022-03,1.50
2022-04,2.10