DATE,UNRATE
01/01/2019,5.1
01/02/2019,5.3
01/03/2019,5.2
01/04/2019,5
01/05/2019,5
01/06/2019,5.1
01/07/2019,5.3
01/08/2019,5.2
01/09/2019,5.2
01/10/2019,5.1
01/11/2019,5.1
01/12/2019,5.2
01/01/2020,5.3
01/02/2020,6.2
01/03/2020,5.9
01/04/2020,6
01/05/2020,5.9
01/06/2020,5.7
01/07/2020,5.7
01/08/2020,5.6
01/09/2020,5.4
01/10/2020,5.3
01/11/2020,5.2
01/12/2020,5.2
01/01/2021,5.4
01/02/2021,5.5
01/03/2021,5.3
01/04/2021,5.1
01/05/2021,5
01/06/2021,5
01/07/2021,5.1
01/08/2021,5.1
01/09/2021,4.9
01/10/2021,4.9
01/11/2021,5
01/12/2021,5.1
01/01/2022,5.3
01/02/2022,5.5
01/03/2022,5.8
01/04/2022,6.1